Team,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Atlanta Hawks,41.7,90.6,12.2,34.9,29.5,55.7,17.9,22.1,10.5,33.1,43.6,24.7,7.6,5.3,12.8,20.4,113.4
Boston Celtics,40.2,87,13,35.1,27.2,51.8,18.7,24,9.8,33.2,42.9,23.9,7.3,4.7,14.5,19.6,112.2
Brooklyn Nets,42,90.7,12.9,35.3,29.1,55.4,16.9,21.8,10.1,32.1,42.2,24.5,7.7,4.5,12.6,18.8,113.9
Charlotte Hornets,41.5,88.9,14.9,40.7,26.6,48.3,14.3,19.3,10.6,34.6,45.1,27.7,8.3,4.8,15.1,18.7,112.2
Chicago Bulls,41.8,87.8,11.2,32,30.6,55.8,17.8,22.8,8.7,32.8,41.5,23.7,8.4,5.1,12.9,18.1,112.7
Cleveland Cavaliers,42,87.4,12.5,32.5,29.5,54.8,16.6,21.4,10.2,34.4,44.6,24.9,8.6,6,15.6,20.3,113.1
Dallas Mavericks,40.9,89.9,13.5,37.2,27.4,52.7,17.1,22.5,10.3,35.4,45.7,22.7,7.4,3.8,12.8,20.7,112.3
Denver Nuggets,41.1,87.8,13,36.1,28.1,51.7,17.2,22.1,9.7,32.4,42.2,26.8,7.4,4.5,14.2,19.6,112.4
Detroit Pistons,41.9,87.3,11.9,31.7,30,55.6,17.2,22.6,9.9,34.8,44.7,25.2,7.7,6,14.7,20.9,113
Golden State Warriors,39.4,86.4,12.4,33.6,27,52.8,19.8,25.4,10.3,36.3,46.7,23.6,7.4,4.5,15,19.5,111
Houston Rockets,41,87.2,12.8,34.1,28.2,53.1,18,23,9.9,37.4,47.3,24.5,8.1,5.3,14.8,19.6,112.9
Indiana Pacers,41.4,88.1,11.4,30.5,30,57.6,17.7,22.7,10.6,34.3,44.9,25.5,7.3,5.2,15,18.1,112
Los Angeles Clippers,41.5,88.9,11.8,32.6,29.7,56.3,16.8,21.4,9.2,33,42.2,23.7,7.2,4,13.4,18.5,111.7
Los Angeles Lakers,39.6,87.3,11.3,32.5,28.3,54.8,15.4,20,9.1,32.9,42,24.6,8.5,4.5,15.2,21.5,105.8
Memphis Grizzlies,40.4,86.5,12.8,34.9,27.6,51.5,17,21.8,9.1,34.6,43.7,25.2,7.8,5.6,15.2,18.1,110.6
Miami Heat,39.5,88.2,14.8,41,24.6,47.3,15.9,20.2,10.4,34.5,44.9,25.9,8,4.2,15.6,20.5,109.7
Milwaukee Bucks,41.2,91,14.3,38.3,26.9,52.7,13.9,17.5,9.5,33.1,42.6,24.7,6.8,4.9,13,17.8,110.6
Minnesota Timberwolves,42.2,87.4,12.3,31.5,30,55.9,18.4,23.2,9.9,35.4,45.3,26,7.3,5.7,14.9,18.9,115.2
New Orleans Pelicans,42,88.6,15.1,38.5,26.8,50.1,16.4,20.6,8.8,31.9,40.7,26.4,7.6,5.8,13.2,21.3,115.5
New York Knicks,39,88.3,12.4,36.8,26.5,51.5,17.7,23.4,9.7,35.6,45.3,23.8,7.1,5.9,13.2,19,108.1
Oklahoma City Thunder,42.7,91,12.9,36.4,29.8,54.6,14.6,19,10,36.8,46.8,24.9,8.6,4.8,12.6,18.1,112.9
Orlando Magic,42.1,89.8,14,37.8,28,52,15,19,9.3,37.9,47.2,26.2,7.9,5.2,13.1,18.4,113.2
Philadelphia 76ers,39.2,86.5,11.7,32.3,27.5,54.2,17.1,22.5,9.2,32.6,41.8,23.1,7.5,4.5,15.2,20.9,107.2
Phoenix Suns,40.4,88.4,11.7,33.5,28.7,54.8,17.1,22.3,9.7,34,43.7,22.3,6.9,3.7,13.5,18.5,109.5
Portland Trail Blazers,42.7,89.1,13.1,35.2,29.6,53.9,18.3,23.7,10.1,36.3,46.4,25.4,6.3,4.6,12.9,19.2,116.8
Sacramento Kings,43.9,90.1,12.6,32.3,31.3,57.8,18,22.5,10.5,34.4,44.9,25.3,7.6,4.4,12.8,19.4,118.5
San Antonio Spurs,42.1,89.5,12.7,33.5,29.4,56,15.3,20,9.9,37.6,47.4,24.9,6.2,5.3,13.5,18.6,112.2
Toronto Raptors,38.9,85.1,13.9,37.2,25,47.9,20.3,25.4,10.3,36.1,46.4,26.3,6.8,5.8,16.6,20.2,112.1
Utah Jazz,41.3,92.6,10.9,31.8,30.5,60.8,14.9,19.3,10.1,33.3,43.5,22.4,7.4,4,11.5,19.5,108.5
Washington Wizards,41.5,87.7,12.4,32.7,29.1,55,18.7,24.1,9.7,35.1,44.8,23.4,8,4.6,13.8,21.2,114
